epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,41239.6,0.5201,0.60103,0.88745,0.72572,0.51952,0.54475,0.45924,0.46694,0.55149,0.89409,5.7824e-05,5.7824e-05,5.7824e-05
42,42261.9,0.50001,0.55953,0.87995,0.77014,0.50532,0.56131,0.47352,0.45596,0.5307,0.88938,5.23196e-05,5.23196e-05,5.23196e-05
43,43279.9,0.49079,0.54999,0.87742,0.73578,0.53992,0.59135,0.50274,0.44649,0.51721,0.887,4.68152e-05,4.68152e-05,4.68152e-05
44,44287.2,0.48526,0.5375,0.87464,0.74665,0.5433,0.58818,0.50148,0.44109,0.50956,0.88417,4.13108e-05,4.13108e-05,4.13108e-05
45,45289.6,0.48423,0.53174,0.87372,0.79546,0.51714,0.60885,0.52452,0.4383,0.50156,0.8827,3.58064e-05,3.58064e-05,3.58064e-05
46,46305.7,0.47556,0.5274,0.86997,0.77903,0.52989,0.6076,0.52073,0.43765,0.49701,0.88277,3.0302e-05,3.0302e-05,3.0302e-05
47,47299.5,0.47458,0.51455,0.87119,0.75243,0.54766,0.61535,0.52877,0.43181,0.48801,0.88085,2.47976e-05,2.47976e-05,2.47976e-05
48,48304.3,0.46724,0.51055,0.86593,0.76117,0.55527,0.61846,0.53157,0.43073,0.48416,0.87965,1.92932e-05,1.92932e-05,1.92932e-05
49,49320.7,0.46848,0.50615,0.86755,0.78164,0.5473,0.62141,0.53625,0.42902,0.47852,0.8791,1.37888e-05,1.37888e-05,1.37888e-05
50,50353,0.46266,0.49915,0.86501,0.78695,0.5466,0.62217,0.53697,0.42636,0.47663,0.87799,8.2844e-06,8.2844e-06,8.2844e-06
